table,power,gamma1,rho,C2
4.4,0.90,1.20,0.8,1.310
4.4,0.90,1.20,0.95,1.283
4.4,0.90,1.25,0.0,1.360
4.4,0.90,1.25,0.2,1.352
4.4,0.90,1.25,0.3,1.346
4.4,0.90,1.25,0.5,1.331
4.4,0.90,1.25,0.7,1.309
4.4,0.90,1.25,0.8,1.296
4.4,0.90,1.25,0.95,1.282
4.4,0.90,1.30,0.0,1.336
4.4,0.90,1.30,0.2,1.329
4.4,0.90,1.30,0.3,1.325
4.4,0.90,1.30,0.5,1.313
4.4,0.90,1.30,0.7,1.297
4.4,0.90,1.30,0.8,1.289
4.4,0.90,1.30,0.95,1.282
4.4,0.90,1.40,0.0,1.305
4.4,0.90,1.40,0.2,1.302
4.4,0.90,1.40,0.3,1.299
4.4,0.90,1.40,0.5,1.293
4.4,0.90,1.40,0.7,1.286
4.4,0.90,1.40,0.8,1.283
4.4,0.90,1.40,0.95,1.282
4.4,0.90,1.50,0.0,1.291
4.4,0.90,1.50,0.2,1.289
4.4,0.90,1.50,0.3,1.288
4.4,0.90,1.50,0.5,1.285
4.4,0.90,1.50,0.7,1.283
4.4,0.90,1.50,0.8,1.282
4.4,0.90,1.50,0.95,1.282
4.4,0.90,1.60,0.0,1.285
4.4,0.90,1.60,0.2,1.284
4.4,0.90,1.60,0.3,1.284
4.4,0.90,1.60,0.5,1.283
4.4,0.90,1.60,0.7,1.282
4.4,0.90,1.60,0.8,1.282
4.4,0.90,1.60,0.95,1.282
4.4,0.90,1.80,0.0,1.282
4.4,0.90,1.80,0.2,1.282
4.4,0.90,1.80,0.3,1.282
4.4,0.90,1.80,0.5,1.282
4.4,0.90,1.80,0.7,1.282
4.4,0.90,1.80,0.8,1.282
4.4,0.90,1.80,0.95,1.282
4.4,0.90,2.00,0.0,1.282
4.4,0.90,2.00,0.2,1.282
4.4,0.90,2.00,0.3,1.282
4.4,0.90,2.00,0.5,1.282
4.4,0.90,2.00,0.7,1.282
4.4,0.90,2.00,0.8,1.282
4.4,0.90,2.00,0.95,1.282
